dataset,embA,evalTypeA,embB,evalTypeB,rho,pearsons,rho_pairs,ds_pairs
EN_SEMEVAL17.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.6102566673467514,0.564143340358468,398,500
EN_SIMLEX-999-Adj.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.5321330509626959,0.4642906047400485,109,111
EN_SIMLEX-999-Ver.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.21921103456545238,0.31256548065863765,222,222
EN_WS-353-REL.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.46908077014166055,0.44362763461710597,247,252
EN_WS-353-ALL.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.531959643975651,0.49948733687231966,347,353
EN_SIMVERB3500.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.3175616333364306,0.3614978077974059,3427,3500
EN_MTurk-287.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.5402538471221905,0.5536585191990099,174,287
EN_SIMLEX-999-Nou.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.38377110164875267,0.40023319335350954,659,666
EN_RG-65.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.6643572985896057,0.6738674691934956,64,65
EN_MEN-TR-3k.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.562107620605174,0.5029313391113739,2800,3000
EN_SIMLEX-999.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.36905742446505657,0.3887564178671915,990,999
EN_MTurk-771.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.5197678643062967,0.41244372062289275,758,771
EN_YP-130.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.5205799203498161,0.6312212714764465,129,130
EN_WS-353-SIM.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.6166081141588002,0.6040644294892634,201,203
EN_VERB-143.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.01892469255667506,0.061241591246719976,67,144
EN_MC-30.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.6836655542318181,0.6260549851459288,30,30
EN_RW-STANFORD.ws.tab,/data/corpora/UNv1.0/en-es/en/vec/swivel_ts/embedding.tsv,concept-based,na,ds_concept-based,0.3528746742438185,0.30477459892085457,1055,2034
EN_SEMEVAL17.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.6546100194754635,0.6284161874879056,446,500
EN_SIMLEX-999-Adj.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.20138463937665657,0.31911786488016153,111,111
EN_SIMLEX-999-Ver.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.13325600463037657,0.23960586247683532,222,222
EN_WS-353-REL.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.5391096079086939,0.5081819233055855,248,252
EN_WS-353-ALL.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.6431724513732785,0.5942551505844862,349,353
EN_SIMVERB3500.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.31789283936756846,0.3646517895338809,3500,3500
EN_MTurk-287.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.534469482192394,0.5754211299805592,180,287
EN_SIMLEX-999-Nou.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.48385976109182777,0.4959841161419472,666,666
EN_RG-65.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.7978135395838246,0.766090331173243,65,65
EN_MEN-TR-3k.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.640539469705616,0.6069650194967291,2990,3000
EN_SIMLEX-999.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.3799200568176787,0.40857687177974367,999,999
EN_MTurk-771.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.5773633907558507,0.4915873929116602,768,771
EN_YP-130.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.5499657859759401,0.6418501278188685,130,130
EN_WS-353-SIM.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.7262486725856635,0.7129335150793098,202,203
EN_VERB-143.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,-0.07433095339318994,-0.0937581100856977,69,144
EN_MC-30.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.8245184737926082,0.7320629501090598,30,30
EN_RW-STANFORD.ws.tab,/data/models/kge/sensi-en-14.2-HolE-500e.vec,concept-based,na,ds_concept-based,0.25572222320292637,0.2601713438697657,1432,2034
EN_SEMEVAL17.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.7532483655813829,0.7424161882814982,491,500
EN_SIMLEX-999-Adj.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.5564189019849605,0.5717361933797656,111,111
EN_SIMLEX-999-Ver.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.4162694661177693,0.463532857515484,222,222
EN_WS-353-REL.ws.tab,/data/corpora/wikipedia/en/vec/sw2v/sw2v_synsets_cbow_umbc_vectors.tsv,concept-based,na,ds_word-based,0.44451480520323144,0.4284871968053087,250,252
